East Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1962   41     1920    0.01030
1962   42     1920    0.00914
1962   42     1919    0.00705
1962   43     1919    0.00611
1962   43     1918    0.00456
1962   44     1918    0.00344
1962   44     1917    0.00160
1962   45     1917    0.00121
1962   45     1916    0.00076
1962   46     1916    0.00061
1962   46     1915    0.00040
1962   47     1915    0.00033
1962   47     1914    0.00021
1962   48     1914    0.00017
1962   48     1913    0.00011
1962   49     1913    0.00009
1962   49     1912    0.00006
1962   50     1912    0.00005
1962   50     1911    0.00003
1962   51     1911    0.00003
1962   51     1910    0.00002
1962   52     1910    0.00001
1962   52     1909    0.00001
1962   53     1909    0.00001
1962   53     1908    0.00001
1962   54     1908    0.00000
1962   54     1907    0.00000
1962   55+       .    0.00000
1963   12-       .    0.00000
1963   13     1950    0.00000
1963   13     1949    0.00000
1963   14     1949    0.00000
1963   14     1948    0.00025
1963   15     1948    0.00176
1963   15     1947    0.00468
1963   16     1947    0.00675
1963   16     1946    0.02108
1963   17     1946    0.03210
1963   17     1945    0.05815
1963   18     1945    0.07501
1963   18     1944    0.11450
1963   19     1944    0.13298
1963   19     1943    0.15856
1963   20     1943    0.16812
1963   20     1942    0.17879
1963   21     1942    0.18299
1963   21     1941    0.19200
1963   22     1941    0.19251
1963   22     1940    0.18620
1963   23     1940    0.18411
1963   23     1939    0.18275
1963   24     1939    0.17983
1963   24     1938    0.17071
1963   25     1938    0.16649
1963   25     1937    0.15871
1963   26     1937    0.15404
1963   26     1936    0.14360
1963   27     1936    0.13859
1963   27     1935    0.12867
1963   28     1935    0.12422
1963   28     1934    0.11626
1963   29     1934    0.11206
1963   29     1933    0.10334
1963   30     1933    0.09942
1963   30     1932    0.09243
1963   31     1932    0.08843
1963   31     1931    0.07955
1963   32     1931    0.07611
1963   32     1930    0.07087
1963   33     1930    0.06730
1963   33     1929    0.05866
1963   34     1929    0.05592
1963   34     1928    0.05260
1963   35     1928    0.05023
1963   35     1927    0.04481
1963   36     1927    0.04224
1963   36     1926    0.03714
1963   37     1926    0.03497
1963   37     1925    0.03107
1963   38     1925    0.02919
1963   38     1924    0.02559
1963   39     1924    0.02373
1963   39     1923    0.02001
1963   40     1923    0.01820
1963   40     1922    0.01474
1963   41     1922    0.01320
1963   41     1921    0.01034
1963   42     1921    0.00921
1963   42     1920    0.00726
1963   43     1920    0.00633
1963   43     1919    0.00468
1963   44     1919    0.00374
1963   44     1918    0.00219
1963   45     1918    0.00151
1963   45     1917    0.00061
1963   46     1917    0.00045
1963   46     1916    0.00029
1963   47     1916    0.00023
1963   47     1915    0.00014
1963   48     1915    0.00011
1963   48     1914    0.00007
1963   49     1914    0.00006
1963   49     1913    0.00004
1963   50     1913    0.00003
1963   50     1912    0.00002
1963   51     1912    0.00002
1963   51     1911    0.00001
1963   52     1911    0.00001
1963   52     1910    0.00001
1963   53     1910    0.00001
1963   53     1909    0.00000
1963   54     1909    0.00000
1963   54     1908    0.00000
1963   55+       .    0.00000
1964   12-       .    0.00000
1964   13     1951    0.00000
1964   13     1950    0.00000
1964   14     1950    0.00000
1964   14     1949    0.00019
1964   15     1949    0.00135
1964   15     1948    0.00425
1964   16     1948    0.00646
1964   16     1947    0.02044
1964   17     1947    0.03164
1964   17     1946    0.05997
1964   18     1946    0.07767
1964   18     1945    0.11949
1964   19     1945    0.13979
1964   19     1944    0.16832
1964   20     1944    0.17833
1964   20     1943    0.18734
1964   21     1943    0.18857
1964   21     1942    0.18510
1964   22     1942    0.18396
1964   22     1941    0.18483
1964   23     1941    0.18325
1964   23     1940    0.17786
1964   24     1940    0.17441
1964   24     1939    0.16605
1964   25     1939    0.16227
1964   25     1938    0.15576
1964   26     1938    0.15165
1964   26     1937    0.14227
1964   27     1937    0.13766
1964   27     1936    0.12849
1964   28     1936    0.12388
1964   28     1935    0.11446
1964   29     1935    0.11043
