West Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1962   15     1947    0.00126
1962   15     1946    0.00385
1962   16     1946    0.00630
1962   16     1945    0.01551
1962   17     1945    0.02225
1962   17     1944    0.03567
1962   18     1944    0.04361
1962   18     1943    0.06171
1962   19     1943    0.07108
1962   19     1942    0.08989
1962   20     1942    0.09871
1962   20     1941    0.11358
1962   21     1941    0.12148
1962   21     1940    0.13959
1962   22     1940    0.14689
1962   22     1939    0.15746
1962   23     1939    0.16175
1962   23     1938    0.16799
1962   24     1938    0.16983
1962   24     1937    0.17077
1962   25     1937    0.17086
1962   25     1936    0.17059
1962   26     1936    0.16901
1962   26     1935    0.16312
1962   27     1935    0.16027
1962   27     1934    0.15469
1962   28     1934    0.15116
1962   28     1933    0.14296
1962   29     1933    0.13874
1962   29     1932    0.13004
1962   30     1932    0.12556
1962   30     1931    0.11657
1962   31     1931    0.11168
1962   31     1930    0.10100
1962   32     1930    0.09681
1962   32     1929    0.09014
1962   33     1929    0.08641
1962   33     1928    0.07848
1962   34     1928    0.07491
1962   34     1927    0.06824
1962   35     1927    0.06499
1962   35     1926    0.05862
1962   36     1926    0.05565
1962   36     1925    0.04997
1962   37     1925    0.04727
1962   37     1924    0.04209
1962   38     1924    0.03949
1962   38     1923    0.03433
1962   39     1923    0.03186
1962   39     1922    0.02713
1962   40     1922    0.02479
1962   40     1921    0.02025
1962   41     1921    0.01819
1962   41     1920    0.01437
1962   42     1920    0.01279
1962   42     1919    0.01016
1962   43     1919    0.00863
1962   43     1918    0.00572
1962   44     1918    0.00476
1962   44     1917    0.00332
1962   45     1917    0.00264
1962   45     1916    0.00155
1962   46     1916    0.00118
1962   46     1915    0.00066
1962   47     1915    0.00049
1962   47     1914    0.00025
1962   48     1914    0.00018
1962   48     1913    0.00010
1962   49     1913    0.00006
1962   49     1912    0.00002
1962   50     1912    0.00001
1962   50     1911    0.00001
1962   51     1911    0.00001
1962   51     1910    0.00001
1962   52     1910    0.00000
1962   52     1909    0.00000
1962   53     1909    0.00000
1962   53     1908    0.00000
1962   54     1908    0.00000
1962   54     1907    0.00000
1962   55+       .    0.00000
1963   12-       .    0.00000
1963   13     1950    0.00003
1963   13     1949    0.00014
1963   14     1949    0.00022
1963   14     1948    0.00067
1963   15     1948    0.00112
1963   15     1947    0.00383
1963   16     1947    0.00654
1963   16     1946    0.01671
1963   17     1946    0.02433
1963   17     1945    0.04163
1963   18     1945    0.05152
1963   18     1944    0.06954
1963   19     1944    0.07845
1963   19     1943    0.09539
1963   20     1943    0.10343
1963   20     1942    0.11881
1963   21     1942    0.12649
1963   21     1941    0.14305
1963   22     1941    0.14999
1963   22     1940    0.16107
1963   23     1940    0.16549
1963   23     1939    0.17168
1963   24     1939    0.17390
1963   24     1938    0.17671
1963   25     1938    0.17693
1963   25     1937    0.17523
1963   26     1937    0.17344
1963   26     1936    0.16814
1963   27     1936    0.16487
1963   27     1935    0.15698
1963   28     1935    0.15319
1963   28     1934    0.14580
1963   29     1934    0.14190
1963   29     1933    0.13400
1963   30     1933    0.12953
1963   30     1932    0.11973
1963   31     1932    0.11507
1963   31     1931    0.10614
1963   32     1931    0.10144
1963   32     1930    0.09151
1963   33     1930    0.08739
1963   33     1929    0.08031
1963   34     1929    0.07664
1963   34     1928    0.06914
1963   35     1928    0.06586
1963   35     1927    0.05996
1963   36     1927    0.05691
1963   36     1926    0.05076
1963   37     1926    0.04781
1963   37     1925    0.04199
1963   38     1925    0.03938
1963   38     1924    0.03456
1963   39     1924    0.03221
1963   39     1923    0.02764
1963   40     1923    0.02541
1963   40     1922    0.02116
1963   41     1922    0.01891
1963   41     1921    0.01456
1963   42     1921    0.01263
1963   42     1920    0.00915
1963   43     1920    0.00795
1963   43     1919    0.00614
1963   44     1919    0.00516
1963   44     1918    0.00341
1963   45     1918    0.00267
1963   45     1917    0.00152
1963   46     1917    0.00118
1963   46     1916    0.00071
1963   47     1916    0.00053
1963   47     1915    0.00027
1963   48     1915    0.00019
1963   48     1914    0.00010
1963   49     1914    0.00006
1963   49     1913    0.00001
1963   50     1913    0.00001
1963   50     1912    0.00001
1963   51     1912    0.00001
1963   51     1911    0.00000
1963   52     1911    0.00000
1963   52     1910    0.00000
1963   53     1910    0.00000
1963   53     1909    0.00000
1963   54     1909    0.00000
1963   54     1908    0.00000
1963   55+       .    0.00000
1964   12-       .    0.00001
1964   13     1951    0.00008
1964   13     1950    0.00016
1964   14     1950    0.00021
1964   14     1949    0.00065
1964   15     1949    0.00112
1964   15     1948    0.00380
1964   16     1948    0.00654
1964   16     1947    0.01691
1964   17     1947    0.02500
1964   17     1946    0.04449
1964   18     1946    0.05574
1964   18     1945    0.07751
1964   19     1945    0.08764
1964   19     1944    0.10265
1964   20     1944    0.10961
