East Germany, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 04/02/2019
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1948    12     0.000     0.000     0.000     0.000     0.000     0.000
1948    13     0.000     0.000     0.000     0.000     0.000     0.000
1948    14     0.000     0.000     0.000     0.000     0.000     0.000
1948    15     0.000     0.000     0.000     0.000     0.000     0.000
1948    16     0.003     0.003     0.000     0.000     0.000     0.000
1948    17     0.017     0.017     0.000     0.000     0.000     0.000
1948    18     0.063     0.060     0.003     0.000     0.000     0.000
1948    19     0.163     0.148     0.014     0.001     0.000     0.000
1948    20     0.320     0.274     0.042     0.004     0.000     0.000
1948    21     0.513     0.412     0.090     0.011     0.001     0.000
1948    22     0.716     0.538     0.152     0.023     0.003     0.000
1948    23     0.904     0.639     0.219     0.040     0.006     0.001
1948    24     1.062     0.714     0.280     0.057     0.009     0.001
1948    25     1.193     0.775     0.334     0.070     0.012     0.002
1948    26     1.294     0.816     0.380     0.079     0.015     0.004
1948    27     1.382     0.847     0.425     0.088     0.018     0.005
1948    28     1.459     0.868     0.467     0.097     0.021     0.006
1948    29     1.531     0.884     0.508     0.108     0.024     0.008
1948    30     1.597     0.895     0.546     0.119     0.027     0.010
1948    31     1.649     0.903     0.574     0.130     0.031     0.012
1948    32     1.692     0.909     0.594     0.140     0.034     0.014
1948    33     1.725     0.914     0.609     0.149     0.038     0.016
1948    34     1.751     0.917     0.619     0.156     0.040     0.018
1948    35     1.773     0.920     0.627     0.163     0.043     0.020
1948    36     1.788     0.922     0.632     0.168     0.045     0.022
1948    37     1.800     0.923     0.635     0.172     0.047     0.023
1948    38     1.809     0.924     0.637     0.175     0.048     0.025
1948    39     1.816     0.924     0.639     0.177     0.050     0.026
1948    40     1.821     0.925     0.639     0.178     0.050     0.027
1948    41     1.824     0.925     0.640     0.179     0.051     0.028
1948    42     1.826     0.925     0.640     0.180     0.051     0.029
1948    43         .         .         .         .         .         .
1948    44         .         .         .         .         .         .
1948    45         .         .         .         .         .         .
1948    46         .         .         .         .         .         .
1948    47         .         .         .         .         .         .
1948    48         .         .         .         .         .         .
1948    49         .         .         .         .         .         .
1948    50         .         .         .         .         .         .
1948    51         .         .         .         .         .         .
1948    52         .         .         .         .         .         .
1948    53         .         .         .         .         .         .
1948    54         .         .         .         .         .         .
1948    55         .         .         .         .         .         .
1949    12     0.000     0.000     0.000     0.000     0.000     0.000
1949    13     0.000     0.000     0.000     0.000     0.000     0.000
1949    14     0.000     0.000     0.000     0.000     0.000     0.000
1949    15     0.000     0.000     0.000     0.000     0.000     0.000
1949    16     0.003     0.003     0.000     0.000     0.000     0.000
1949    17     0.016     0.015     0.000     0.000     0.000     0.000
1949    18     0.058     0.055     0.003     0.000     0.000     0.000
1949    19     0.152     0.139     0.013     0.001     0.000     0.000
1949    20     0.307     0.265     0.039     0.003     0.000     0.000
1949    21     0.499     0.406     0.083     0.009     0.001     0.000
1949    22     0.697     0.533     0.141     0.020     0.002     0.000
1949    23     0.870     0.632     0.200     0.033     0.004     0.001
1949    24     1.015     0.711     0.253     0.044     0.006     0.001
1949    25     1.134     0.770     0.302     0.053     0.008     0.002
1949    26     1.239     0.814     0.350     0.062     0.011     0.002
1949    27     1.333     0.846     0.399     0.071     0.013     0.003
1949    28     1.424     0.870     0.451     0.082     0.016     0.005
1949    29     1.505     0.887     0.499     0.093     0.019     0.006
1949    30     1.572     0.899     0.538     0.105     0.023     0.008
1949    31     1.625     0.907     0.566     0.117     0.026     0.009
1949    32     1.667     0.913     0.587     0.127     0.030     0.011
1949    33     1.701     0.917     0.602     0.136     0.033     0.013
1949    34     1.727     0.920     0.612     0.144     0.035     0.015
