East Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1974     29     1945        75690.00
1974     30     1944       109987.17
1974     31     1943       113417.67
1974     32     1942       109873.83
1974     33     1941       137538.33
1974     34     1940       143050.33
1974     35     1939       141520.17
1974     36     1938       130429.33
1974     37     1937       123099.17
1974     38     1936       123685.67
1974     39     1935       123837.33
1974     40     1934       117708.17
1974     41     1933        95211.83
1974     42     1932        95920.83
1974     43     1931        99991.00
1974     44     1930       109074.33
1974     45     1929       107424.17
1974     46     1928       108107.83
1974     47     1927       102086.17
1974     48     1926       105526.00
1974     49     1925       106826.00
1974     50     1924       101457.33
1974     51     1923       102110.50
1974     52     1922       110485.33
1974     53     1921       121974.17
1974     54     1920       127517.83
1974     55     1919        92465.67
1975     12     1963        72133.66
1975     13     1962       140292.66
1975     14     1961       141319.81
1975     15     1960       137006.38
1975     16     1959       134257.55
1975     17     1958       124835.42
1975     18     1957       124366.76
1975     19     1956       127036.96
1975     20     1955       129297.57
1975     21     1954       129373.06
1975     22     1953       129085.11
1975     23     1952       127919.21
1975     24     1951       126290.73
1975     25     1950       121900.51
1975     26     1949       106115.08
1975     27     1948        90105.85
1975     28     1947        88342.60
1975     29     1946        66613.97
1975     30     1945        75554.17
1975     31     1944       109812.00
1975     32     1943       113218.00
1975     33     1942       109684.17
1975     34     1941       137318.83
1975     35     1940       142824.33
1975     36     1939       141310.67
1975     37     1938       130220.33
1975     38     1937       122883.17
1975     39     1936       123480.50
1975     40     1935       123595.83
1975     41     1934       117496.50
1975     42     1933        95035.17
1975     43     1932        95703.67
1975     44     1931        99741.17
1975     45     1930       108789.33
1975     46     1929       107133.50
1975     47     1928       107768.67
1975     48     1927       101751.17
1975     49     1926       105107.33
1975     50     1925       106361.50
1975     51     1924       101023.83
1975     52     1923       101609.17
1975     53     1922       109905.50
1975     54     1921       121222.00
1975     55     1920       126682.00
1976     12     1964        71199.83
1976     13     1963       142179.78
1976     14     1962       140199.93
1976     15     1961       141219.41
1976     16     1960       136904.21
1976     17     1959       134160.36
1976     18     1958       124808.24
1976     19     1957       124510.05
1976     20     1956       127185.27
1976     21     1955       129292.40
1976     22     1954       129226.02
1976     23     1953       128837.53
1976     24     1952       127637.92
1976     25     1951       126033.34
1976     26     1950       121696.64
1976     27     1949       105927.42
1976     28     1948        89964.78
1976     29     1947        88209.74
1976     30     1946        66492.85
1976     31     1945        75411.00
1976     32     1944       109629.00
1976     33     1943       113011.00
1976     34     1942       109485.00
1976     35     1941       137091.33
1976     36     1940       142574.00
1976     37     1939       141074.67
1976     38     1938       130000.50
1976     39     1937       122633.50
1976     40     1936       123245.83
1976     41     1935       123331.50
1976     42     1934       117213.00
1976     43     1933        94821.17
1976     44     1932        95438.50
1976     45     1931        99478.50
1976     46     1930       108508.00
1976     47     1929       106797.17
1976     48     1928       107368.67
1976     49     1927       101353.67
1976     50     1926       104653.50
1976     51     1925       105849.00
1976     52     1924       100555.67
1976     53     1923       101066.67
1976     54     1922       109266.17
1976     55     1921       120457.83
1977     12     1965        68007.49
1977     13     1964       138275.60
1977     14     1963       142104.13
1977     15     1962       140140.16
1977     16     1961       141130.45
1977     17     1960       136800.85
1977     18     1959       134164.18
1977     19     1958       124937.81
1977     20     1957       124666.50
1977     21     1956       127131.95
1977     22     1955       129099.26
1977     23     1954       128978.87
1977     24     1953       128581.88
1977     25     1952       127408.44
1977     26     1951       125839.58
1977     27     1950       121513.47
1977     28     1949       105776.19
1977     29     1948        89861.63
1977     30     1947        88084.36
1977     31     1946        66396.42
1977     32     1945        75285.67
1977     33     1944       109480.00
1977     34     1943       112840.33
1977     35     1942       109317.83
1977     36     1941       136906.00
1977     37     1940       142355.00
1977     38     1939       140864.17
1977     39     1938       129801.17
1977     40     1937       122425.83
1977     41     1936       122999.33
1977     42     1935       123082.83
1977     43     1934       116912.50
1977     44     1933        94585.33
1977     45     1932        95191.50
1977     46     1931        99193.50
1977     47     1930       108225.33
1977     48     1929       106437.67
1977     49     1928       106956.50
1977     50     1927       100941.50
1977     51     1926       104194.67
1977     52     1925       105328.67
1977     53     1924       100021.50
1977     54     1923       100504.00
1977     55     1922       108613.50
1978     12     1966        66093.81
1978     13     1965       132470.51
1978     14     1964       138213.05
1978     15     1963       142037.92
1978     16     1962       140089.07
1978     17     1961       141047.49
1978     18     1960       136828.00
1978     19     1959       134349.83
1978     20     1958       125101.17
1978     21     1957       124690.93
1978     22     1956       126983.97
1978     23     1955       128842.62
1978     24     1954       128743.71
1978     25     1953       128360.36
1978     26     1952       127228.17
1978     27     1951       125663.94
1978     28     1950       121331.66
1978     29     1949       105635.32
1978     30     1948        89755.36
1978     31     1947        87943.75
1978     32     1946        66302.01
1978     33     1945        75148.33
1978     34     1944       109308.83
1978     35     1943       112662.33
1978     36     1942       109157.33
1978     37     1941       136703.83
1978     38     1940       142125.67
1978     39     1939       140627.33
1978     40     1938       129579.17
1978     41     1937       122204.83
1978     42     1936       122754.83
1978     43     1935       122827.00
1978     44     1934       116614.50
1978     45     1933        94330.00
1978     46     1932        94933.83
1978     47     1931        98868.83
1978     48     1930       107886.67
1978     49     1929       106050.83
1978     50     1928       106546.83
1978     51     1927       100507.00
1978     52     1926       103711.00
1978     53     1925       104778.00
1978     54     1924        99448.00
1978     55     1923        99905.00
1979     12     1967        61958.17
1979     13     1966       127149.55
1979     14     1965       132392.94
1979     15     1964       138127.95
1979     16     1963       141976.19
1979     17     1962       140036.64
1979     18     1961       141042.94
1979     19     1960       136999.88
1979     20     1959       134509.31
1979     21     1958       125085.66
1979     22     1957       124564.04
1979     23     1956       126787.22
1979     24     1955       128579.04
1979     25     1954       128496.69
1979     26     1953       128157.30
1979     27     1952       127031.53
1979     28     1951       125484.56
1979     29     1950       121150.49
1979     30     1949       105494.19
1979     31     1948        89610.34
1979     32     1947        87791.51
1979     33     1946        66201.28
1979     34     1945        75007.00
1979     35     1944       109106.83
1979     36     1943       112466.33
1979     37     1942       108969.50
1979     38     1941       136460.50
