West Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1970     12     1958       217713.03
1970     13     1957       422335.68
1970     14     1956       408515.90
1970     15     1955       392495.51
1970     16     1954       395723.28
1970     17     1953       385263.26
1970     18     1952       391494.50
1970     19     1951       392988.85
1970     20     1950       406865.78
1970     21     1949       408875.42
1970     22     1948       392416.00
1970     23     1947       373749.41
1970     24     1946       349112.22
1970     25     1945       300257.33
1970     26     1944       396551.50
1970     27     1943       403558.67
1970     28     1942       392588.83
1970     29     1941       475896.17
1970     30     1940       513248.83
1970     31     1939       507109.50
1970     32     1938       479266.50
1970     33     1937       452311.33
1970     34     1936       450199.83
1970     35     1935       441254.67
1970     36     1934       416967.33
1970     37     1933       343651.00
1970     38     1932       350221.00
1970     39     1931       363676.50
1970     40     1930       391845.83
1970     41     1929       387240.50
1970     42     1928       395828.33
1970     43     1927       387570.33
1970     44     1926       406149.83
1970     45     1925       425521.17
1970     46     1924       418392.33
1970     47     1923       420189.83
1970     48     1922       442335.50
1970     49     1921       467357.17
1970     50     1920       470919.00
1970     51     1919       361264.67
1970     52     1918       243383.17
1970     53     1917       233724.17
1970     54     1916       259325.17
1970     55     1915       341660.67
1971     12     1959       231164.66
1971     13     1958       430559.11
1971     14     1957       423062.65
1971     15     1956       409452.40
1971     16     1955       394272.08
1971     17     1954       400441.39
1971     18     1953       389965.05
1971     19     1952       398433.56
1971     20     1951       398139.23
1971     21     1950       410041.45
1971     22     1949       410406.08
1971     23     1948       393359.17
1971     24     1947       374454.33
1971     25     1946       348184.18
1971     26     1945       300166.17
1971     27     1944       395042.67
1971     28     1943       401581.00
1971     29     1942       392412.50
1971     30     1941       475910.50
1971     31     1940       515272.83
1971     32     1939       508939.00
1971     33     1938       481447.00
1971     34     1937       454574.50
1971     35     1936       451801.50
1971     36     1935       442522.83
1971     37     1934       417601.17
1971     38     1933       344285.00
1971     39     1932       350963.17
1971     40     1931       363343.50
1971     41     1930       391504.50
1971     42     1929       386256.17
1971     43     1928       394470.83
1971     44     1927       386634.50
1971     45     1926       404397.50
1971     46     1925       423779.83
1971     47     1924       416821.67
1971     48     1923       417847.33
1971     49     1922       439684.17
1971     50     1921       464320.67
1971     51     1920       467807.83
1971     52     1919       358535.17
1971     53     1918       241546.33
1971     54     1917       232633.67
1971     55     1916       257301.67
1972     12     1960       238749.06
1972     13     1959       453154.07
1972     14     1958       433019.09
1972     15     1957       426122.37
1972     16     1956       413199.56
1972     17     1955       398474.87
1972     18     1954       406503.47
1972     19     1953       398047.84
1972     20     1952       407839.69
1972     21     1951       405922.67
1972     22     1950       418081.67
1972     23     1949       417559.74
1972     24     1948       400244.48
1972     25     1947       380154.27
1972     26     1946       353032.73
1972     27     1945       304550.67
1972     28     1944       398672.33
1972     29     1943       404677.83
1972     30     1942       395332.67
1972     31     1941       478339.83
1972     32     1940       517680.50
1972     33     1939       511163.33
1972     34     1938       483438.67
1972     35     1937       456362.17
1972     36     1936       453341.83
1972     37     1935       443782.50
1972     38     1934       418698.67
1972     39     1933       345267.00
1972     40     1932       351864.17
1972     41     1931       363939.33
1972     42     1930       392042.50
1972     43     1929       386491.67
1972     44     1928       394644.17
1972     45     1927       386534.17
1972     46     1926       404165.83
1972     47     1925       423195.83
1972     48     1924       416223.67
1972     49     1923       416948.17
1972     50     1922       438458.00
1972     51     1921       462744.33
1972     52     1920       466111.83
1972     53     1919       357107.17
1972     54     1918       240461.50
1972     55     1917       231565.33
1973     12     1961       247047.35
1973     13     1960       468981.97
1973     14     1959       455542.37
1973     15     1958       436145.93
1973     16     1957       429552.23
1973     17     1956       417516.37
1973     18     1955       404852.59
1973     19     1954       415595.93
1973     20     1953       407658.59
1973     21     1952       417112.72
1973     22     1951       413076.89
1973     23     1950       425852.54
1973     24     1949       424087.88
1973     25     1948       406155.45
1973     26     1947       385026.59
1973     27     1946       356883.79
1973     28     1945       308159.00
1973     29     1944       401540.50
1973     30     1943       407136.83
1973     31     1942       397712.50
1973     32     1941       480155.17
1973     33     1940       519473.83
1973     34     1939       512837.17
1973     35     1938       484945.83
1973     36     1937       457595.33
1973     37     1936       454201.83
1973     38     1935       444526.67
1973     39     1934       419304.33
1973     40     1933       345846.17
1973     41     1932       352342.50
1973     42     1931       364108.83
1973     43     1930       392117.17
1973     44     1929       386372.00
1973     45     1928       394459.00
1973     46     1927       386115.50
1973     47     1926       403626.50
1973     48     1925       422432.00
1973     49     1924       415349.00
1973     50     1923       415841.50
1973     51     1922       437058.50
1973     52     1921       460973.50
1973     53     1920       464148.50
1973     54     1919       355499.17
1973     55     1918       239217.83
1974     12     1962       248617.72
1974     13     1961       486079.94
1974     14     1960       471269.08
1974     15     1959       457936.50
1974     16     1958       438878.32
1974     17     1957       432267.94
1974     18     1956       421506.71
1974     19     1955       410883.73
1974     20     1954       422665.03
1974     21     1953       413995.09
1974     22     1952       422716.87
1974     23     1951       417285.72
1974     24     1950       430399.75
1974     25     1949       427514.44
1974     26     1948       409060.21
1974     27     1947       387240.65
1974     28     1946       358586.19
1974     29     1945       309584.50
1974     30     1944       402490.33
1974     31     1943       407953.00
1974     32     1942       398500.00
1974     33     1941       480634.00
1974     34     1940       519914.17
1974     35     1939       513194.00
1974     36     1938       485265.00
1974     37     1937       457663.67
1974     38     1936       454141.67
1974     39     1935       444431.67
1974     40     1934       419072.67
1974     41     1933       345694.50
1974     42     1932       352161.33
1974     43     1931       363808.50
1974     44     1930       391543.33
1974     45     1929       385745.17
1974     46     1928       393711.83
1974     47     1927       385244.50
1974     48     1926       402648.67
1974     49     1925       421208.17
1974     50     1924       414070.50
1974     51     1923       414355.83
1974     52     1922       435265.50
1974     53     1921       459008.17
1974     54     1920       461877.67
1974     55     1919       353657.83
1975     12     1963       260416.45
1975     13     1962       489249.35
1975     14     1961       486872.61
1975     15     1960       472365.31
1975     16     1959       458876.89
1975     17     1958       439709.10
1975     18     1957       433300.18
1975     19     1956       423312.97
1975     20     1955       412961.21
1975     21     1954       423973.01
1975     22     1953       414527.53
1975     23     1952       422830.08
1975     24     1951       416749.12
1975     25     1950       429653.71
1975     26     1949       426392.26
1975     27     1948       407587.45
1975     28     1947       385582.41
1975     29     1946       356928.24
1975     30     1945       307942.33
1975     31     1944       400857.17
1975     32     1943       406354.83
1975     33     1942       396896.17
1975     34     1941       479242.33
1975     35     1940       518335.00
1975     36     1939       511666.50
1975     37     1938       483766.33
1975     38     1937       456273.67
1975     39     1936       452723.33
1975     40     1935       443089.50
1975     41     1934       417725.67
1975     42     1933       344412.67
1975     43     1932       350901.17
1975     44     1931       362594.33
1975     45     1930       390195.33
1975     46     1929       384408.00
1975     47     1928       392285.83
1975     48     1927       383833.33
1975     49     1926       401077.00
1975     50     1925       419502.17
1975     51     1924       412305.00
1975     52     1923       412399.17
1975     53     1922       433096.17
1975     54     1921       456730.17
1975     55     1920       459184.50
1976     12     1964       263657.71
1976     13     1963       508124.01
1976     14     1962       489664.94
1976     15     1961       487394.70
